"band","event_date","species_name","age_description","sex_description"
"B57704455590","11/26/10","Rose-throated Becard","Hatching Year","Female"
"B57704689517","5/3/06","Dusky-capped Flycatcher","After Hatching Year","Unknown"
"B57713256292","4/29/07","Traill's Flycatcher","Second Year","Unknown"
"B57713256375","10/4/06","Traill's Flycatcher","Hatching Year","Unknown"
"B57713256617","4/27/08","Alder Flycatcher","After Second Year","Unknown"
"B57713297513","7/4/03","Vermilion Flycatcher","After Hatching Year","Male"
"B57713297592","7/4/03","Western Wood-Pewee","After Hatching Year","Male"
"B57713381513","9/17/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57713381593","9/17/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57713382551","9/23/02","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57713388557","10/9/03","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57713389518","5/1/03","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57713389599","5/2/03","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57713566206","2/23/04","Cordilleran Flycatcher","Second Year","Unknown"
"B57713566287","2/24/04","Least Flycatcher","Second Year","Unknown"
"B57713566523","3/27/03","Bell's Vireo","After Hatching Year","Unknown"
"B57713567515","10/21/02","Dusky Flycatcher","After Hatching Year","Unknown"
"B57713567561","10/23/02","Least Flycatcher","Hatching Year","Unknown"
"B57713567596","10/22/02","Least Flycatcher","After Hatching Year","Unknown"
"B57714010551","5/7/19","Red-eyed Vireo","After Hatching Year","Unknown"
"B57723058615","2/21/02","Least Flycatcher","Second Year","Unknown"
"B57723059090","12/12/05","White-eyed Vireo","After Hatching Year","Unknown"
"B57723059259","12/5/01","White-eyed Vireo","After Hatching Year","Unknown"
"B49414361153","10/4/68","Gray Kingbird","Unknown","Unknown"
"B49414362111","10/9/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362251","10/1/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362273","10/2/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362334","9/25/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362356","9/25/77","Gray Kingbird","After Hatching Year","Unknown"
"B49414362413","9/25/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362432","9/24/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362474","9/25/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362496","9/25/77","Gray Kingbird","After Hatching Year","Unknown"
"B49414362572","9/24/77","Gray Kingbird","Hatching Year","Unknown"
"B49414362594","9/14/77","Gray Kingbird","After Hatching Year","Unknown"
"B57733081517","9/5/07","Western Wood-Pewee","After Hatching Year","Unknown"
"B57733089513","9/18/07","Traill's Flycatcher","Hatching Year","Unknown"
"B57733089593","9/18/07","Traill's Flycatcher","Hatching Year","Unknown"
"B57733566557","5/10/01","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57733566606","5/20/01","Acadian Flycatcher","After Hatching Year","Unknown"
"B57733566687","5/20/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B57733566843","5/19/01","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57733566923","5/19/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B57733567167","5/8/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B57733567247","5/6/01","Philadelphia Vireo","After Hatching Year","Unknown"
"B57733567565","5/5/01","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57733567646","5/10/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B57733567727","5/10/01","Traill's Flycatcher","After Hatching Year","Unknown"
"B57733681513","1/28/01","Greater Antillean Elaenia","After Hatching Year","Unknown"
"B57734689514","12/15/07","Great Crested Flycatcher","Unknown","Unknown"
"B58573238815","1/23/78","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57743211593","10/15/00","Eastern Wood-Pewee","Hatching Year","Unknown"
"B57743216554","10/29/03","Traill's Flycatcher","Hatching Year","Unknown"
"B57753144103","5/9/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753144264","5/9/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753144344","5/6/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753144427","5/5/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753144554","4/27/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753144585","5/4/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753144663","5/17/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753144741","5/16/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753144904","5/11/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753144987","5/12/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753145021","4/23/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145067","4/24/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145145","4/13/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145185","4/18/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145301","5/19/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753145347","5/19/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753145384","5/20/02","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57753145425","5/18/02","Least Flycatcher","After Hatching Year","Unknown"
"B57753145465","5/18/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753145503","5/18/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753145511","5/18/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753145547","5/18/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753145581","5/18/02","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57753145594","5/18/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753145627","4/27/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145664","4/27/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145705","4/27/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145745","4/26/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145783","4/27/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145861","4/26/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145907","4/25/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145944","4/25/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753145985","4/25/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753212555","5/8/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213062","5/6/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213141","5/5/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213223","5/4/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213307","5/4/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213387","5/4/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213465","5/3/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213517","5/2/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213543","5/2/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213597","5/2/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213622","5/7/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213701","5/7/03","Warbling Vireo","After Hatching Year","Unknown"
"B57753213783","5/7/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753213947","5/6/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214025","4/30/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214182","4/30/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214261","4/29/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214344","4/28/03","Philadelphia Vireo","Second Year","Unknown"
"B57753214427","4/28/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214507","4/27/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214585","4/28/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214663","5/2/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214742","5/1/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214821","5/1/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753214987","5/1/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753215185","10/27/05","White-eyed Vireo","Unknown","Unknown"
"B57753283947","4/14/04","White-eyed Vireo","After Hatching Year","Unknown"
"B57753330103","10/24/03","White-eyed Vireo","After Hatching Year","Unknown"
"B57753330183","10/24/03","Red-eyed Vireo","Hatching Year","Unknown"
"B57753330427","10/1/03","Red-eyed Vireo","After Hatching Year","Unknown"
"B57753330505","9/25/03","Traill's Flycatcher","Hatching Year","Unknown"
"B57753330820","11/26/03","White-eyed Vireo","Hatching Year","Unknown"
"B57753332107","9/4/03","Red-eyed Vireo","Hatching Year","Unknown"
"B57753333383","10/24/02","White-eyed Vireo","After Hatching Year","Unknown"
"B57753333463","10/21/02","White-eyed Vireo","After Hatching Year","Unknown"
"B57753333543","10/21/02","White-eyed Vireo","Hatching Year","Unknown"
"B57753338555","10/1/04","White-eyed Vireo","After Hatching Year","Unknown"
"B57753339063","9/26/04","Traill's Flycatcher","Hatching Year","Unknown"
"B57753339789","9/29/04","White-eyed Vireo","After Hatching Year","Unknown"
"B57753339867","9/28/04","Traill's Flycatcher","Hatching Year","Unknown"
"B49421409804","8/25/71","Gray Kingbird","Unknown","Unknown"
"B57753702345","4/18/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753702580","4/16/03","White-eyed Vireo","After Hatching Year","Unknown"
"B57753702747","9/30/03","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57753702983","9/29/03","Traill's Flycatcher","Hatching Year","Unknown"
"B57753703307","4/8/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753703517","4/4/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753703543","4/3/03","Least Flycatcher","After Hatching Year","Unknown"
"B57753703867","4/13/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753704025","3/31/03","White-eyed Vireo","After Hatching Year","Unknown"
"B57753705027","3/26/03","White-eyed Vireo","After Hatching Year","Unknown"
"B57753705425","3/22/03","White-eyed Vireo","After Hatching Year","Unknown"
"B57753798559","5/6/02","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B57753799067","4/23/02","Pacific-slope Flycatcher","After Second Year","Unknown"
"B57753799147","4/9/02","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B57753799225","4/9/02","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B57753799303","4/8/02","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B57753799387","4/8/02","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B57753799627","4/30/02","Warbling Vireo","After Second Year","Unknown"
"B57753799707","4/30/02","Warbling Vireo","After Second Year","Unknown"
"B57753799863","4/27/02","Warbling Vireo","After Hatching Year","Unknown"
"B57753799947","4/23/02","Warbling Vireo","Second Year","Unknown"
"B57753868183","9/18/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753868346","10/27/03","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B49423790493","9/12/65","Black-whiskered Vireo","Unknown","Unknown"
"B49423796012","1/6/85","Stolid Flycatcher","After Hatching Year","Unknown"
"B49423796819","1/9/85","Stolid Flycatcher","After Hatching Year","Unknown"
"B49423796896","1/9/85","Stolid Flycatcher","After Hatching Year","Unknown"
"B49423878658","9/23/02","Red-eyed Vireo","Unknown","Unknown"
"B49423878739","9/22/02","Traill's Flycatcher","Unknown","Unknown"
"B57753961516","4/3/04","Red-eyed Vireo","Second Year","Unknown"
"B57753970340","5/3/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753970427","4/30/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753970507","4/27/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57753970585","4/28/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57763135187","4/25/07","Traill's Flycatcher","After Hatching Year","Unknown"
"B57763159515","12/15/05","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B58574366556","2/6/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367215","1/30/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367297","1/31/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367374","1/29/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367453","1/27/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367536","11/27/93","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367593","11/28/93","Loggerhead Kingbird","Hatching Year","Unknown"
"B58574367617","2/4/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367698","2/4/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574367934","2/1/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58574368258","9/24/93","Loggerhead Kingbird","Hatching Year","Unknown"
"B57773030550","2/18/03","White-eyed Vireo","After Second Year","Unknown"
"B57773273513","2/23/02","Least Flycatcher","After Second Year","Unknown"
"B57773522207","11/19/02","Least Flycatcher","Hatching Year","Unknown"
"B57773522287","11/19/02","Least Flycatcher","Hatching Year","Unknown"
"B57773523967","2/28/02","Warbling Vireo","After Second Year","Unknown"
"B57773525322","12/19/02","Bell's Vireo","Hatching Year","Unknown"
"B57773525347","12/19/02","Least Flycatcher","Unknown","Unknown"
"B57773525487","12/18/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57773529567","12/11/02","Bell's Vireo","Hatching Year","Unknown"
"B57773529643","12/12/02","Bell's Vireo","After Hatching Year","Unknown"
"B57773593005","12/3/03","Least Flycatcher","After Hatching Year","Unknown"
"B57773593163","12/2/03","Least Flycatcher","After Hatching Year","Unknown"
"B57774021517","12/28/10","Ash-throated Flycatcher","After Hatching Year","Unknown"
"B57774115517","2/17/07","Ash-throated Flycatcher","After Second Year","Unknown"
"B57774315263","4/24/07","Rose-throated Becard","Second Year","Male"
"B57774507887","10/15/08","Great Crested Flycatcher","After Hatching Year","Unknown"
"B57783075505","11/4/02","White-eyed Vireo","Hatching Year","Unknown"
"B57783075517","11/4/02","White-eyed Vireo","Hatching Year","Unknown"
"B57783265427","4/26/07","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57783916556","4/24/03","Western Flycatcher","After Second Year","Unknown"
"B57783917591","4/18/03","Western Flycatcher","After Second Year","Unknown"
"B57793062557","1/10/08","Warbling Vireo","Second Year","Unknown"
"B57793063593","9/14/06","Acadian Flycatcher","Hatching Year","Unknown"
"B57793195509","12/4/04","Yellow-bellied Flycatcher","Unknown","Unknown"
"B57793195583","12/11/04","Yellow-bellied Flycatcher","Unknown","Unknown"
"B57793195591","12/8/04","Yellow-bellied Flycatcher","Unknown","Unknown"
"B57793246552","5/25/02","Pacific-slope Flycatcher","Second Year","Unknown"
"B57793247519","5/14/02","Pacific-slope Flycatcher","After Hatching Year","Unknown"
"B57793272557","2/19/03","White-eyed Vireo","Second Year","Unknown"
"B57793284553","5/16/03","Western Flycatcher","Second Year","Unknown"
"B57793285183","4/30/03","Warbling Vireo","Second Year","Unknown"
"B57793285262","4/24/03","Warbling Vireo","Second Year","Unknown"
"B57793285348","4/23/03","Western Wood-Pewee","After Second Year","Unknown"
"B57793285425","4/17/03","Olive-sided Flycatcher","After Second Year","Unknown"
"B57793285669","5/16/03","Plumbeous Vireo","Second Year","Unknown"
"B57793285743","5/5/03","Warbling Vireo","Second Year","Unknown"
"B57793285822","5/5/03","Warbling Vireo","Second Year","Unknown"
"B57793285908","5/3/03","Warbling Vireo","After Second Year","Unknown"
"B57793285985","5/3/03","Warbling Vireo","After Second Year","Unknown"
"B57793320552","3/22/04","Gray Flycatcher","After Hatching Year","Unknown"
"B57793328557","3/13/03","Least Flycatcher","Second Year","Unknown"
"B57793329512","12/13/02","Dusky Flycatcher","Hatching Year","Unknown"
"B57793475187","11/12/03","Vermilion Flycatcher","Hatching Year","Male"
"B57793475747","12/21/03","Hutton's Vireo","After Hatching Year","Unknown"
"B57793475987","12/3/03","Vermilion Flycatcher","After Hatching Year","Male"
"B57793477517","3/9/03","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B57793477597","3/10/03","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B57793594767","2/20/04","Philadelphia Vireo","After Second Year","Unknown"
"B57803260556","10/2/00","Eastern Wood-Pewee","Hatching Year","Unknown"
"B57803261592","9/16/00","Traill's Flycatcher","After Hatching Year","Unknown"
"B57803625500","1/18/99","Hispaniolan Pewee","After Hatching Year","Unknown"
"B57804567327","1/23/97","Thick-billed Vireo","After Hatching Year","Unknown"
"B57804567407","1/21/97","Thick-billed Vireo","After Hatching Year","Unknown"
"B57804567644","1/19/98","Thick-billed Vireo","After Hatching Year","Unknown"
"B57813510047","4/26/06","Warbling Vireo","Second Year","Unknown"
"B57813510201","9/14/05","Traill's Flycatcher","After Hatching Year","Unknown"
"B57813510688","10/19/06","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57813511248","3/23/98","Least Flycatcher","After Second Year","Unknown"
"B57813511485","3/17/98","Yellow-bellied Flycatcher","After Hatching Year","Male"
"B57813512368","9/12/04","Traill's Flycatcher","Hatching Year","Unknown"
"B57813512441","5/3/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B57814023594","3/4/98","Black-whiskered Vireo","After Hatching Year","Unknown"
"B57814344553","5/7/00","Black-whiskered Vireo","After Hatching Year","Female"
"B57814345104","8/11/96","Black-whiskered Vireo","Hatching Year","Unknown"
"B57814345264","4/13/96","Black-whiskered Vireo","After Hatching Year","Unknown"
"B57814345345","5/21/95","Black-whiskered Vireo","After Hatching Year","Unknown"
"B57814345664","5/7/00","Black-whiskered Vireo","After Hatching Year","Unknown"
"B57814345743","4/24/99","Black-whiskered Vireo","After Hatching Year","Unknown"
"B57814345905","6/22/97","Black-whiskered Vireo","Hatching Year","Unknown"
"B57814345987","8/25/97","Black-whiskered Vireo","Unknown","Unknown"
"B57814521001","10/23/97","Red-eyed Vireo","Hatching Year","Unknown"
"B57814521084","10/31/97","Caribbean Elaenia","After Hatching Year","Unknown"
"B57814521165","10/19/97","Black-whiskered Vireo","After Hatching Year","Unknown"
"B57814521242","10/1/97","Black-whiskered Vireo","Unknown","Unknown"
"B57814630551","10/10/95","Red-eyed Vireo","After Hatching Year","Unknown"
"B57814646556","9/25/03","Red-eyed Vireo","Hatching Year","Unknown"
"B57814971591","10/26/99","White-eyed Vireo","Unknown","Unknown"
"B57814978557","9/8/93","Cave Swallow","After Hatching Year","Unknown"
"B57814979514","5/28/93","Cave Swallow","After Hatching Year","Male"
"B57814979599","5/28/93","Cave Swallow","After Hatching Year","Female"
"B58583162552","10/25/77","Western Wood-Pewee","After Hatching Year","Male"
"B58583162733","9/10/78","Traill's Flycatcher","After Hatching Year","Unknown"
"B58583162972","9/8/78","Traill's Flycatcher","Hatching Year","Unknown"
"B58583163135","10/13/77","Least Flycatcher","Hatching Year","Unknown"
"B58583163218","10/13/77","Traill's Flycatcher","Hatching Year","Unknown"
"B58583163533","9/25/77","Traill's Flycatcher","Hatching Year","Unknown"
"B58583163596","9/29/77","Traill's Flycatcher","After Hatching Year","Unknown"
"B58583163853","10/15/77","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B58583163931","10/15/77","Traill's Flycatcher","Hatching Year","Unknown"
"B57823470557","11/2/99","Cuban Pewee","Unknown","Unknown"
"B57823940552","9/19/07","Yellow-bellied Flycatcher","Unknown","Unknown"
"B57824546554","10/29/04","Black-whiskered Vireo","Unknown","Unknown"
"B57833128553","1/6/01","Hammond's Flycatcher","After Hatching Year","Unknown"
"B57833159515","12/14/98","Acadian Flycatcher","After Hatching Year","Unknown"
"B57833197511","2/17/97","Western Flycatcher","After Hatching Year","Unknown"
"B57833254613","9/22/04","Barn Swallow","Hatching Year","Unknown"
"B57833254693","9/22/04","Barn Swallow","Hatching Year","Unknown"
"B57833254772","9/22/04","Bank Swallow","Hatching Year","Unknown"
"B57833415343","5/4/12","Traill's Flycatcher","Second Year","Unknown"
"B57833415424","4/28/12","Traill's Flycatcher","After Hatching Year","Unknown"
"B57833415501","4/23/12","Traill's Flycatcher","After Second Year","Unknown"
"B57833415515","4/22/12","Traill's Flycatcher","After Second Year","Unknown"
"B57833415585","4/25/12","Traill's Flycatcher","After Hatching Year","Unknown"
"B57833415597","4/23/12","Traill's Flycatcher","After Second Year","Unknown"
"B57833556367","5/5/00","Western Wood-Pewee","After Hatching Year","Unknown"
"B57833556453","2/10/00","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57833646553","9/20/98","Traill's Flycatcher","After Hatching Year","Unknown"
"B57833647518","10/22/97","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57833648557","10/22/97","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57833649514","9/30/97","Traill's Flycatcher","Hatching Year","Unknown"
"B57833691519","11/7/98","Traill's Flycatcher","After Hatching Year","Unknown"
"B57833692556","11/5/98","Traill's Flycatcher","Unknown","Unknown"
"B57833693593","9/14/98","Traill's Flycatcher","After Hatching Year","Unknown"
"B57833694558","5/7/97","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57833695025","10/30/96","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57833695107","10/25/96","Traill's Flycatcher","Hatching Year","Unknown"
"B57833695343","10/19/96","Eastern Wood-Pewee","Hatching Year","Unknown"
"B57833695515","10/18/96","Acadian Flycatcher","Hatching Year","Unknown"
"B57833695585","10/18/96","Traill's Flycatcher","Hatching Year","Unknown"
"B57833695597","10/18/96","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57833695667","5/7/97","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57833695823","4/11/97","Traill's Flycatcher","After Hatching Year","Unknown"
"B57833695903","11/20/96","Traill's Flycatcher","Hatching Year","Unknown"
"B57833695986","11/22/96","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57833818558","12/23/01","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B58584571408","3/22/06","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584571458","1/29/06","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584571484","3/26/06","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584571535","10/26/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58584571565","1/28/06","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584571598","1/25/06","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584572604","5/1/00","La Sagra's Flycatcher","After Hatching Year","Female"
"B58584572655","4/30/00","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584572685","10/19/00","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58584572738","4/29/00","La Sagra's Flycatcher","After Hatching Year","Female"
"B58584572767","4/30/00","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B58584574208","10/15/01","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58584574258","10/13/01","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58584575485","10/23/98","Loggerhead Kingbird","Hatching Year","Unknown"
"B58584575518","3/28/98","Loggerhead Kingbird","After Hatching Year","Female"
"B58584918559","10/6/97","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58584919518","2/6/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B58584919611","2/1/97","Loggerhead Kingbird","After Hatching Year","Unknown"
"B57843232554","9/26/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57843233517","11/15/99","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57843262552","4/28/99","Philadelphia Vireo","After Hatching Year","Unknown"
"B57843283514","9/26/02","Traill's Flycatcher","After Hatching Year","Unknown"
"B57843283593","9/30/02","Traill's Flycatcher","Hatching Year","Unknown"
"B57843284558","11/2/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285025","10/15/01","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B57843285107","10/9/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285343","10/1/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285422","10/1/01","Traill's Flycatcher","Second Year","Unknown"
"B57843285515","9/29/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285585","9/29/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285597","9/29/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285667","11/2/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285748","10/29/01","Acadian Flycatcher","Hatching Year","Unknown"
"B57843285824","10/29/01","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57843285903","10/22/01","Traill's Flycatcher","Hatching Year","Unknown"
"B57843285982","10/29/01","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57844054455","11/29/94","Cuban Pewee","After Hatching Year","Unknown"
"B57844395429","12/30/93","Northern Rough-winged Swallow","Unknown","Unknown"
"B57853254105","10/20/01","White-eyed Vireo","After Hatching Year","Unknown"
"B57853254183","10/23/01","White-eyed Vireo","After Hatching Year","Unknown"
"B57853254455","1/7/01","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B57853254743","3/7/02","Least Flycatcher","After Second Year","Unknown"
"B57853254822","1/24/02","White-eyed Vireo","Second Year","Unknown"
"B57853254905","12/17/01","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B57853254938","12/10/01","White-eyed Vireo","After Hatching Year","Unknown"
"B57853254984","1/11/02","White-eyed Vireo","After Second Year","Unknown"
"B57853255015","1/28/01","White-eyed Vireo","Second Year","Unknown"
"B57853255265","12/20/00","Warbling Vireo","After Hatching Year","Unknown"
"B57853255335","3/6/00","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B57853255428","2/16/00","White-eyed Vireo","After Hatching Year","Unknown"
"B57853255545","2/12/00","Yellow-bellied Flycatcher","Second Year","Unknown"
"B57853255592","2/14/00","White-eyed Vireo","After Hatching Year","Unknown"
"B57853255627","4/28/01","Least Flycatcher","After Hatching Year","Unknown"
"B57853255732","4/23/01","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B57853255745","4/22/01","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B49454348594","3/30/62","Loggerhead Kingbird","After Hatching Year","Unknown"
"B57853678558","11/28/05","White-eyed Vireo","After Hatching Year","Unknown"
"B57853679068","11/13/05","White-eyed Vireo","After Hatching Year","Unknown"
"B57853679306","11/7/05","White-eyed Vireo","Unknown","Unknown"
"B57853720025","9/28/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B57853720103","9/26/04","Red-eyed Vireo","Hatching Year","Unknown"
"B57853720187","9/26/04","Red-eyed Vireo","Hatching Year","Unknown"
"B57853720262","9/26/04","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853720427","9/23/04","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853720508","10/16/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57853720550","10/15/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57853720585","10/16/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57853720663","10/1/04","Traill's Flycatcher","After Hatching Year","Unknown"
"B57853720747","9/30/04","Red-eyed Vireo","Hatching Year","Unknown"
"B57853720822","9/30/04","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853720900","9/29/04","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853720987","9/29/04","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853721068","10/11/03","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853721145","10/9/03","Traill's Flycatcher","After Hatching Year","Unknown"
"B57853721223","10/8/03","Red-eyed Vireo","After Hatching Year","Unknown"
"B57853721307","10/7/03","Traill's Flycatcher","After Hatching Year","Unknown"
