"band","event_date","species_name","band_type_description","bird_status_description","age_description","sex_description"
"B49164834221","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834274","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834306","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834384","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834431","3/20/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834468","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834473","3/21/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834543","3/20/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834594","3/20/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834624","3/26/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834678","3/26/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834753","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834781","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834866","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834919","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164834944","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164834991","3/22/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164835076","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164835154","3/16/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164835238","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164835395","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164835434","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164835479","3/15/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49164835636","3/20/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49164835873","3/19/79","Scissor-tailed Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B48104867714","5/26/04","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B49173368479","7/10/74","Cliff Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48114861558","7/9/10","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48114863953","5/29/07","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48114864541","6/3/04","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48114864864","7/24/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48114865438","6/30/03","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48114865635","5/31/04","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48124684388","4/7/04","Cassin's Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B48124993554","6/3/09","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48124994069","5/27/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48124994674","6/2/09","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48134163436","5/30/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48134227438","4/24/03","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B48143330028","3/31/90","Lesser Antillean Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48143341578","9/15/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143343468","8/4/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143344451","6/16/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48143344588","6/16/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48143344613","7/2/90","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143815621","8/6/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48143816264","6/11/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143817061","3/11/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143817621","3/11/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143817788","3/11/89","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143819064","12/4/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143819143","12/4/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B48143819301","11/27/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","Unknown","Male"
"B48143819468","11/27/88","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","Unknown","Male"
"B48143931439","1/10/88","Yellow-bellied Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48154425085","2/1/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B48154425404","2/3/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B48164191314","5/14/06","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48164191391","5/14/06","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48164191431","5/5/06","Scissor-tailed Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48164734628","7/16/10","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48164734996","11/12/08","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48174034300","2/18/09","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B48174041971","1/25/11","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48174173314","7/28/07","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48184754115","5/28/07","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48184754141","5/28/07","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B48184754304","6/5/06","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48184754438","6/30/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48184754514","6/1/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48184754544","5/30/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48184755157","6/3/04","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B48184755634","4/30/05","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B48203384943","10/28/87","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B48754079710","5/3/80","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B48764650355","10/7/88","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Hatching Year","Male"
"B48764650518","9/16/88","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49264155074","1/27/08","Tropical Kingbird","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B58453426108","9/18/85","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B58453426265","9/15/85","Traill's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B58453426586","9/7/85","Traill's Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B58453426825","9/20/85","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B58453427544","10/30/84","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B58453428182","10/25/84","Eastern Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Male"
"B58453428664","10/27/84","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B58453428828","10/25/84","Eastern Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Female"
"B49304970999","3/20/64","Purple Martin","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57533932173","5/21/05","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B57533935829","5/8/05","Western Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B49310044533","8/20/73","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B58473972557","11/1/80","Western Wood-Pewee","aluminum\butt-end new address","Normal wild bird.","Hatching Year","Male"
"B58474592524","3/20/04","Black Phoebe","aluminum\butt-end new address","Normal wild bird.","After Second Year","Male"
"B49314955313","6/2/63","Cassin's Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B58483853014","9/25/81","Barn Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B58494463593","5/27/99","Gray Kingbird","aluminum\butt-end new address","Normal wild bird.","After Second Year","Male"
"B57553486978","8/19/11","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57563286332","1/24/08","Black-capped Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B57604174557","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57604175027","5/13/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57604175187","5/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57604175665","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57604175747","5/28/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57604175826","5/22/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B57604175984","5/18/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57613241596","4/27/04","Warbling Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B57613588367","12/10/06","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B57613594369","3/9/04","Hammond's Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B57614858858","6/9/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B57614858937","6/5/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B57614859174","6/11/08","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Female"
"B49364530034","2/21/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364530115","2/21/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530270","2/20/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530359","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530473","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364530516","2/15/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530594","2/16/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530675","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530753","2/23/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530830","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364530919","2/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531076","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531313","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531391","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531434","1/30/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531479","2/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531636","2/15/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364531714","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531795","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364531873","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364531951","2/6/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364537557","3/15/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364538033","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364538199","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364538273","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364538434","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364538479","2/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364538678","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364538759","3/5/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364539075","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364539239","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364539319","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364539393","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364539433","2/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49364539635","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364539713","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364539879","3/1/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49364539953","2/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49383475649","6/18/65","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B58554223772","2/28/91","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B58554374263","5/24/01","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B58554374417","5/26/00","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Female"
"B58554374814","8/13/01","Cassin's Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B58554374977","7/5/01","Ash-throated Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B49394074229","3/31/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49394074353","1/24/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49394074467","1/24/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49394074590","1/10/89","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49394324432","3/8/65","Great Kiskadee","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57704455334","5/17/12","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B57704455345","5/16/12","Yellow-green Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B57704455415","6/10/11","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B57704455425","6/9/11","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B57704455507","11/26/10","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57704455517","11/26/10","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57704455590","11/26/10","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B57713297513","7/4/03","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57713297592","7/4/03","Western Wood-Pewee","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57774315263","4/24/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B57793475187","11/12/03","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B57793475987","12/3/03","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B57813511485","3/17/98","Yellow-bellied Flycatcher","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B57814344553","5/7/00","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57814979514","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57814979599","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B58583162552","10/25/77","Western Wood-Pewee","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B58584572604","5/1/00","La Sagra's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B58584572738","4/29/00","La Sagra's Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B58584575518","3/28/98","Loggerhead Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57874181517","5/24/94","Cave Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B57874935509","2/26/94","Rose-throated Becard","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B49464131793","12/7/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464132194","10/11/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464132334","10/5/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464132353","10/5/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464133796","9/21/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464134511","8/26/65","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49464134593","8/26/65","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49464137871","9/2/66","Fork-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464138754","6/28/66","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49464310039","6/21/61","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57903522289","10/18/91","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B58623850292","1/25/75","Yellow-bellied Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57924570044","5/12/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57924570125","5/12/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57924570280","5/12/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57924570604","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57924570685","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57924570767","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57924570927","5/12/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57933519403","2/1/84","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","Second Year","Female"
"B57944971517","5/6/89","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57944975269","7/2/88","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57944975347","6/11/88","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57944975589","5/7/88","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B57964546764","5/2/00","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57984035108","4/28/87","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B57993229599","1/7/97","Philadelphia Vireo","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Male"
"B49481981054","9/16/65","Great Kiskadee","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49483133293","3/10/66","Jamaican Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B58664590444","6/25/90","Stolid Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B58664590525","5/19/90","Stolid Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B58034553178","5/28/08","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B58034553653","9/11/09","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B58034553723","3/12/09","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B58034553738","3/12/09","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Second Year","Male"
"B58034553963","1/27/09","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B58034554205","12/19/06","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B58034554453","10/12/06","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B58034554765","11/13/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B58034554774","9/14/07","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B58034555245","11/24/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B58034555255","11/24/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B58034555335","11/23/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B58034555405","11/9/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Female"
"B58034555418","10/14/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B58034555490","11/10/04","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B58034555643","4/14/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B58034555654","4/12/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B58034555805","3/18/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B58034555895","3/18/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Female"
"B49613743251","3/26/66","White-eyed Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B58073895348","1/16/93","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B49614624302","8/6/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49614624354","8/5/65","Brown-crested Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624453005","4/19/63","Gray-breasted Martin","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49624453075","4/19/63","Gray-breasted Martin","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624453554","4/13/63","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624494756","3/20/64","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49624494869","3/20/64","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49624833072","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49624833154","3/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624833238","3/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624833313","3/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624833393","3/27/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B49624833632","3/30/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B49624833714","3/28/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
